Seed,Task,Model,Popsize,Generations,Mutation_rate,Selection_strength,adaptation_rate,richness,variance
2,57,Equal,25000,1e+05,1e-05,0.1,0.00605062,10.9545454545455,3.13926153465347
2,58,Equal,50000,2e+05,1e-05,0.1,0.0058883,16.8181818181818,5.93852975247525
2,59,Equal,75000,3e+05,1e-05,0.1,0.00606766666666667,22.3181818181818,9.04366138613861
2,60,Equal,1e+05,4e+05,1e-05,0.1,0.0063002,26.0454545454546,12.648391980198
2,61,Equal,500,2000,1e-05,0.1,0.000180000000000007,1.27272727272727,0.0216555643564356
2,62,Equal,1000,4000,1e-05,0.1,0.001596,2.13636363636364,0.146705920792079
2,63,Equal,2500,10000,1e-05,0.1,0.0035876,3.45454545454545,0.444471767326733
2,64,Equal,5000,20000,1e-05,0.1,0.0044124,4.63636363636364,0.688421612871287
2,65,Equal,7500,30000,1e-05,0.1,0.00526653333333333,5.36363636363636,0.959812876237624
2,66,Equal,10000,40000,1e-05,0.1,0.00528825,6.18181818181818,1.19203258910891
2,67,Equal,25000,1e+05,1e-05,0.1,0.00585186,10.9090909090909,3.0551150990099
2,68,Equal,50000,2e+05,1e-05,0.1,0.0061256,16.3636363636364,6.0710703960396
2,69,Equal,75000,3e+05,1e-05,0.1,0.00612893333333333,20.4545454545455,9.07324113861386
2,70,Equal,1e+05,4e+05,1e-05,0.1,0.00623265,25.1363636363636,12.1441196039604
2,71,Equal,500,2000,1e-05,0.1,0.00149,1.63636363636364,0.110206316831683
2,72,Equal,1000,4000,1e-05,0.1,0.002646,2.59090909090909,0.293323608910891
2,73,Equal,2500,10000,1e-05,0.1,0.002673,3.18181818181818,0.376841011881188
2,74,Equal,5000,20000,1e-05,0.1,0.004317,4.54545454545455,0.65576100990099
2,75,Equal,7500,30000,1e-05,0.1,0.0052988,5.86363636363636,0.980224801980198
2,76,Equal,10000,40000,1e-05,0.1,0.00528765,6.5,1.24171075247525
2,77,Equal,25000,1e+05,1e-05,0.1,0.00595816,11.6818181818182,3.0921801980198
2,78,Equal,50000,2e+05,1e-05,0.1,0.0062244,17.4090909090909,6.44945217821782
2,79,Equal,75000,3e+05,1e-05,0.1,0.00625366666666667,20.6818181818182,9.24497108910891
2,80,Equal,1e+05,4e+05,1e-05,0.1,0.0061091,25.5909090909091,12.0961967821782
2,81,Equal,500,2000,1e-05,0.1,0.000227999999999994,1.45454545454545,0.0848190099009901
2,82,Equal,1000,4000,1e-05,0.1,0.0015,1.81818181818182,0.160792301980198
2,83,Equal,2500,10000,1e-05,0.1,0.0027186,2.90909090909091,0.307768311089109
2,84,Equal,5000,20000,1e-05,0.1,0.004431,4.63636363636364,0.675118663366337
2,85,Equal,7500,30000,1e-05,0.1,0.00437993333333333,5.40909090909091,0.827316569306931
2,86,Equal,10000,40000,1e-05,0.1,0.0056981,6.54545454545455,1.27224051980198
2,87,Equal,25000,1e+05,1e-05,0.1,0.00606752,10.5909090909091,3.10544089108911
2,88,Equal,50000,2e+05,1e-05,0.1,0.006248,17.3636363636364,6.26643737623762
2,89,Equal,75000,3e+05,1e-05,0.1,0.0062814,21.7727272727273,9.54634594059406
2,90,Equal,1e+05,4e+05,1e-05,0.1,0.006114,24.9090909090909,12.2023662376238
2,91,Equal,500,2000,1e-05,0.1,0.000566000000000003,1.45454545454545,0.0565815445544554
2,92,Equal,1000,4000,1e-05,0.1,0.00225400000000001,2.54545454545455,0.237459663366337
2,93,Equal,2500,10000,1e-05,0.1,0.003002,3.09090909090909,0.364677526732673
2,94,Equal,5000,20000,1e-05,0.1,0.0044897,4.45454545454545,0.669946965346535
2,95,Equal,7500,30000,1e-05,0.1,0.00468853333333333,5.31818181818182,0.919669475247525
2,96,Equal,10000,40000,1e-05,0.1,0.00537,6.77272727272727,1.30821220792079
2,97,Equal,25000,1e+05,1e-05,0.1,0.00610738,11.2272727272727,3.11615351485149
2,98,Equal,50000,2e+05,1e-05,0.1,0.0062118,15.9545454545455,6.10663415841584
2,99,Equal,75000,3e+05,1e-05,0.1,0.00607706666666667,21.8181818181818,9.18721084158416
2,100,Equal,1e+05,4e+05,1e-05,0.1,0.0060792,25.0454545454546,11.8907788613861
2,101,Equal,500,2000,1e-05,0.1,0.000126000000000005,1.09090909090909,0.00289823762376238
2,102,Equal,1000,4000,1e-05,0.1,0.0013045,1.90909090909091,0.14820496039604
2,103,Equal,2500,10000,1e-05,0.1,0.0027844,2.68181818181818,0.299797816633663
2,104,Equal,5000,20000,1e-05,0.1,0.0042902,4.22727272727273,0.616147784158416
2,105,Equal,7500,30000,1e-05,0.1,0.0047474,5.45454545454545,0.878663069306931
2,106,Equal,10000,40000,1e-05,0.1,0.0049148,6.09090909090909,1.11620258415842
2,107,Equal,25000,1e+05,1e-05,0.1,0.00577898,11.2727272727273,3.09131722772277
2,108,Equal,50000,2e+05,1e-05,0.1,0.0059065,16.4545454545455,5.78124717821782
